"Aaden"	["Red Sox", 53, 23]
"Emmanuel"	["Red Sox", 50, 21]
"Emmett"	["Cardinals", 31, 51]
"Emmitt"	["Cardinals", 33, 53]
"Emmy"	["Cardinals", 32, 33]
"Emory"	["Red Sox", 43, 43]
"Enrique"	["Cardinals", 25, 61]
"Enzo"	["Red Sox", 52, 25]
"Eric"	["Cardinals", 26, 45]
"Erica"	["Cardinals", 34, 48]
"Erick"	["Red Sox", 41, 33]
"Erik"	["Cardinals", 41, 52]
"Erika"	["Red Sox", 52, 33]
"Erin"	["Red Sox", 33, 32]
"Ernest"	["Red Sox", 49, 33]
"Ernesto"	["Red Sox", 48, 23]
"Esme"	["Red Sox", 52, 29]
"Esmeralda"	["Cardinals", 27, 50]
"Esteban"	["Cardinals", 32, 52]
"Estella"	["Cardinals", 28, 57]
"Estelle"	["Cardinals", 22, 48]
"Esther"	["Cardinals", 28, 46]
"Estrella"	["Red Sox", 42, 33]
"Ethan"	["Red Sox", 61, 37]
"Eugene"	["Red Sox", 58, 35]
"Eva"	["Cardinals", 25, 48]
"Evalyn"	["Cardinals", 17, 42]
"Evan"	["Cardinals", 24, 50]
"Evangeline"	["Cardinals", 35, 39]
"Eve"	["Cardinals", 34, 45]
"Evelyn"	["Cardinals", 41, 55]
"Evelynn"	["Cardinals", 29, 64]
"Everett"	["Red Sox", 48, 24]
"Everly"	["Cardinals", 32, 57]
"Evie"	["Red Sox", 57, 28]
"Ezekiel"	["Red Sox", 41, 28]
"Ezequiel"	["Cardinals", 31, 53]
"Ezra"	["Red Sox", 43, 42]
"Fabian"	["Red Sox", 48, 31]
"Faith"	["Red Sox", 48, 28]
"Farrah"	["Red Sox", 40, 30]
"Fatima"	["Red Sox", 37, 33]
"Felicity"	["Cardinals", 22, 50]
"Felipe"	["Cardinals", 35, 46]
"Felix"	["Cardinals", 34, 59]
"Fernanda"	["Cardinals", 28, 44]
"Fernando"	["Red Sox", 45, 32]
"Finley"	["Red Sox", 57, 27]
"Finn"	["Cardinals", 28, 55]
"Finnegan"	["Cardinals", 36, 58]
"Fiona"	["Cardinals", 28, 54]
"Fisher"	["Red Sox", 57, 29]
"Fletcher"	["Cardinals", 30, 45]
"Flynn"	["Cardinals", 31, 56]
"Foster"	["Red Sox", 55, 33]
"Frances"	["Red Sox", 60, 34]
"Francesca"	["Red Sox", 41, 25]
"Francis"	["Red Sox", 50, 26]
"Francisco"	["Red Sox", 44, 30]
"Franco"	["Cardinals", 31, 55]
"Frank"	["Cardinals", 31, 45]
"Frankie"	["Cardinals", 32, 41]
"Franklin"	["Cardinals", 22, 48]
"Freddy"	["Red Sox", 47, 24]
"Frederick"	["Cardinals", 32, 52]
"Gabriel"	["Cardinals", 26, 44]
"Gabriela"	["Cardinals", 31, 58]
"Gabriella"	["Cardinals", 19, 37]
"Gabrielle"	["Red Sox", 48, 26]
"Gael"	["Red Sox", 46, 28]
"Gage"	["Red Sox", 38, 31]
"Gaige"	["Red Sox", 51, 28]
"Galilea"	["Red Sox", 52, 28]
"Garrett"	["Cardinals", 28, 58]
"Gary"	["Red Sox", 47, 33]
"Gauge"	["Cardinals", 26, 52]
"Gavin"	["Red Sox", 46, 28]
"Gavyn"	["Cardinals", 34, 60]
"Gemma"	["Red Sox", 54, 27]
"Genesis"	["Cardinals", 32, 51]
"Genevieve"	["Red Sox", 54, 24]
"George"	["Cardinals", 23, 47]
"Georgia"	["Red Sox", 50, 25]
"Gerald"	["Cardinals", 27, 42]
"Geraldine"	["Cardinals", 23, 51]
"Gerardo"	["Red Sox", 43, 28]
"Gia"	["Red Sox", 45, 31]
"Giada"	["Cardinals", 38, 42]
"Giana"	["Red Sox", 48, 27]
"Giancarlo"	["Red Sox", 43, 36]
"Gianna"	["Cardinals", 15, 40]
"Gianni"	["Red Sox", 56, 39]
"Gibson"	["Cardinals", 23, 57]
"Gideon"	["Red Sox", 45, 18]
"Gilbert"	["Cardinals", 26, 57]
"Gilberto"	["Red Sox", 44, 25]
"Giovani"	["Cardinals", 24, 45]
"Giovanna"	["Red Sox", 52, 26]
"Giovanni"	["Cardinals", 36, 49]
"Giovanny"	["Red Sox", 46, 34]
"Giselle"	["Red Sox", 39, 24]
"Gisselle"	["Cardinals", 33, 44]
"Giuliana"	["Red Sox", 37, 37]
"Gloria"	["Cardinals", 30, 40]
"Grace"	["Red Sox", 55, 31]
"Gracelyn"	["Cardinals", 25, 47]
"Gracelynn"	["Cardinals", 24, 58]
"Gracie"	["Cardinals", 28, 41]
"Grady"	["Cardinals", 24, 50]
"Graeme"	["Cardinals", 30, 44]
"Graham"	["Red Sox", 49, 33]
"Grant"	["Red Sox", 45, 34]
"Graysen"	["Red Sox", 33, 35]
"Grayson"	["Red Sox", 49, 32]
"Gregory"	["Cardinals", 20, 46]
"Greta"	["Cardinals", 22, 56]
"Greyson"	["Red Sox", 41, 37]
"Griffin"	["Cardinals", 24, 53]
"Guadalupe"	["Red Sox", 36, 29]
"Guillermo"	["Red Sox", 51, 32]
"Gunnar"	["Red Sox", 41, 26]
"Gunner"	["Cardinals", 26, 51]
"Gustavo"	["Red Sox", 47, 24]
"Gwendolyn"	["Cardinals", 27, 40]
"Hadassah"	["Red Sox", 51, 24]
"Hadley"	["Red Sox", 60, 30]
"Hailee"	["Cardinals", 31, 53]
"Hailey"	["Red Sox", 50, 28]
"Haleigh"	["Red Sox", 53, 31]
"Haley"	["Cardinals", 35, 47]
"Halle"	["Cardinals", 24, 61]
"Hallie"	["Cardinals", 30, 60]
"Hamza"	["Red Sox", 63, 29]
"Hana"	["Cardinals", 29, 44]
"Hank"	["Red Sox", 52, 28]
"Hanna"	["Cardinals", 29, 59]
"Hannah"	["Red Sox", 58, 25]
"Harlee"	["Red Sox", 36, 26]
"Harley"	["Cardinals", 24, 60]
"Harlow"	["Cardinals", 34, 51]
"Harmony"	["Red Sox", 39, 32]
"Harold"	["Cardinals", 24, 63]
"Harper"	["Red Sox", 58, 31]
"Harrison"	["Cardinals", 35, 45]
"Harry"	["Cardinals", 24, 50]
"Harvey"	["Cardinals", 29, 53]
"Hassan"	["Red Sox", 60, 32]
"Hattie"	["Red Sox", 33, 22]
"Haven"	["Cardinals", 24, 47]
"Hayden"	["Cardinals", 31, 42]
"Hayes"	["Red Sox", 47, 43]
"Haylee"	["Cardinals", 31, 52]
"Hayleigh"	["Red Sox", 52, 38]
"Hayley"	["Cardinals", 32, 63]
"Haylie"	["Cardinals", 32, 67]
"Hazel"	["Red Sox", 40, 22]
"Heath"	["Red Sox", 35, 31]
"Heather"	["Red Sox", 59, 32]
"Heaven"	["Red Sox", 46, 20]
"Hector"	["Red Sox", 49, 27]
"Heidi"	["Cardinals", 33, 40]
"Helen"	["Red Sox", 42, 37]
"Helena"	["Red Sox", 58, 26]
"Hendrix"	["Red Sox", 62, 27]
"Henry"	["Cardinals", 36, 45]
"Hezekiah"	["Cardinals", 44, 42]
"Holden"	["Red Sox", 48, 26]
"Holly"	["Cardinals", 17, 43]
"Hope"	["Red Sox", 38, 30]
"Houston"	["Cardinals", 19, 54]
"Howard"	["Cardinals", 27, 44]
"Hudson"	["Cardinals", 28, 44]
"Hugh"	["Cardinals", 28, 55]
"Hugo"	["Cardinals", 21, 47]
"Hunter"	["Red Sox", 50, 29]
"Ian"	["Red Sox", 51, 32]
"Ibrahim"	["Cardinals", 31, 57]
"Ignacio"	["Cardinals", 32, 54]
"Iker"	["Cardinals", 33, 36]
"Iliana"	["Cardinals", 28, 43]
"Imani"	["Cardinals", 22, 52]
"Immanuel"	["Red Sox", 45, 35]
"Ingrid"	["Cardinals", 29, 56]
"Irene"	["Red Sox", 44, 36]
"Iris"	["Red Sox", 61, 31]
"Isaac"	["Red Sox", 48, 25]
"Isabel"	["Red Sox", 50, 17]
"Isabela"	["Red Sox", 44, 29]
"Isabella"	["Cardinals", 29, 37]
"Isabelle"	["Red Sox", 54, 25]
"Isai"	["Cardinals", 35, 52]
"Isaiah"	["Red Sox", 50, 37]
"Isaias"	["Cardinals", 25, 60]
"Ishaan"	["Cardinals", 19, 44]
"Isiah"	["Cardinals", 27, 38]
"Isis"	["Cardinals", 25, 40]
"Isla"	["Cardinals", 27, 45]
"Ismael"	["Red Sox", 43, 31]
"Israel"	["Cardinals", 28, 50]
"Issac"	["Cardinals", 25, 47]
"Itzel"	["Cardinals", 31, 54]
"Ivan"	["Cardinals", 26, 47]
"Ivanna"	["Cardinals", 21, 52]
"Ivy"	["Red Sox", 41, 29]
"Izabella"	["Red Sox", 50, 34]
"Izabelle"	["Red Sox", 49, 29]
"Izaiah"	["Cardinals", 34, 43]
"Izayah"	["Cardinals", 26, 38]
"Jabari"	["Red Sox", 48, 27]
"Jace"	["Cardinals", 24, 56]
"Jack"	["Cardinals", 39, 66]
"Jackson"	["Red Sox", 51, 30]
"Jacob"	["Cardinals", 34, 48]
"Jacoby"	["Cardinals", 30, 58]
"Jacqueline"	["Cardinals", 42, 49]
"Jada"	["Cardinals", 26, 50]
"Jade"	["Red Sox", 50, 32]
"Jaden"	["Cardinals", 23, 52]
"Jadiel"	["Cardinals", 33, 49]
"Jadon"	["Cardinals", 30, 61]
"Jaeden"	["Cardinals", 23, 52]
"Jael"	["Cardinals", 23, 41]
"Jaelyn"	["Red Sox", 36, 32]
"Jaelynn"	["Cardinals", 31, 60]
"Jagger"	["Red Sox", 44, 21]
"Jaida"	["Red Sox", 43, 32]
"Jaiden"	["Red Sox", 55, 26]
"Jaidyn"	["Cardinals", 29, 42]
"Jaime"	["Cardinals", 28, 56]
"Jairo"	["Red Sox", 56, 35]
"Jakayla"	["Red Sox", 43, 29]
"Jake"	["Red Sox", 54, 31]
"Jakob"	["Cardinals", 23, 57]
"Jalen"	["Cardinals", 35, 60]
"Jaliyah"	["Red Sox", 58, 22]
"Jamal"	["Cardinals", 34, 48]
"Jamar"	["Cardinals", 25, 46]
"Jamari"	["Red Sox", 47, 29]
"Jamarion"	["Cardinals", 30, 44]
"James"	["Cardinals", 28, 52]
"Jameson"	["Red Sox", 54, 36]
"Jamie"	["Cardinals", 28, 49]
"Jamir"	["Red Sox", 39, 31]
"Jamison"	["Cardinals", 33, 62]
"Janae"	["Red Sox", 41, 25]
"Jane"	["Red Sox", 32, 33]
"Janelle"	["Red Sox", 56, 27]
"Janessa"	["Red Sox", 53, 34]
"Janiya"	["Red Sox", 53, 25]
"Janiyah"	["Cardinals", 26, 47]
"Jaqueline"	["Red Sox", 41, 28]
"Jared"	["Cardinals", 27, 41]
"Jarrett"	["Red Sox", 49, 38]
"Jase"	["Cardinals", 31, 56]
"Jasiah"	["Cardinals", 26, 49]
"Jasmin"	["Red Sox", 67, 21]
"Jasmine"	["Cardinals", 24, 39]
"Jason"	["Red Sox", 50, 25]
"Jasper"	["Cardinals", 30, 51]
"Javier"	["Red Sox", 45, 31]
"Javion"	["Cardinals", 32, 59]
"Javon"	["Cardinals", 17, 55]
"Jax"	["Red Sox", 42, 40]
"Jaxen"	["Cardinals", 29, 41]
"Jaxon"	["Cardinals", 26, 41]
"Jaxson"	["Cardinals", 37, 56]
"Jaxton"	["Red Sox", 51, 32]
"Jay"	["Red Sox", 47, 29]
"Jayce"	["Red Sox", 56, 37]
"Jaycee"	["Red Sox", 53, 31]
"Jaycob"	["Cardinals", 27, 53]
"Jayda"	["Red Sox", 34, 40]
"Jayde"	["Cardinals", 32, 35]
"Jayden"	["Cardinals", 24, 40]
"Jaydon"	["Cardinals", 36, 71]
"Jayla"	["Red Sox", 57, 25]
"Jaylah"	["Red Sox", 56, 24]
"Jaylee"	["Cardinals", 27, 36]
"Jayleen"	["Cardinals", 26, 44]
"Jaylen"	["Cardinals", 17, 53]
"Jaylene"	["Cardinals", 25, 47]
"Jaylin"	["Red Sox", 44, 25]
"Jaylon"	["Cardinals", 20, 54]
"Jaylynn"	["Cardinals", 26, 45]
"Jayson"	["Cardinals", 29, 48]
"Jazlyn"	["Cardinals", 23, 56]
"Jazlynn"	["Red Sox", 50, 28]
"Jazmin"	["Red Sox", 44, 35]
"Jazmine"	["Cardinals", 31, 46]
"Jazzlyn"	["Red Sox", 47, 22]
"Jedidiah"	["Red Sox", 47, 30]
"Jefferson"	["Cardinals", 20, 53]
"Jeffery"	["Red Sox", 45, 33]
"Jeffrey"	["Cardinals", 28, 58]
"Jemma"	["Red Sox", 55, 34]
"Jenna"	["Red Sox", 51, 27]
"Jennifer"	["Red Sox", 54, 31]
"Jenny"	["Red Sox", 50, 38]
"Jensen"	["Red Sox", 35, 36]
"Jeremiah"	["Red Sox", 49, 25]
"Jeremy"	["Red Sox", 51, 26]
"Jermaine"	["Cardinals", 23, 36]
"Jerome"	["Cardinals", 34, 47]
"Jerry"	["Cardinals", 32, 40]
"Jessa"	["Red Sox", 46, 33]
"Jesse"	["Red Sox", 41, 28]
"Jessica"	["Cardinals", 34, 50]
"Jessie"	["Cardinals", 26, 44]
"Jesus"	["Cardinals", 32, 45]
"Jett"	["Cardinals", 30, 41]
"Jewel"	["Red Sox", 47, 39]
"Jillian"	["Red Sox", 39, 32]
"Jimena"	["Red Sox", 58, 40]
"Jimmy"	["Cardinals", 34, 63]
"Jionni"	["Cardinals", 28, 47]
"Joanna"	["Cardinals", 23, 66]
"Joaquin"	["Cardinals", 30, 44]
"Jocelyn"	["Cardinals", 31, 57]
"Jocelynn"	["Red Sox", 53, 37]
"Joe"	["Cardinals", 29, 49]
"Joel"	["Red Sox", 52, 30]
"Joey"	["Red Sox", 41, 24]
"Johan"	["Red Sox", 57, 28]
"Johann"	["Red Sox", 54, 36]
"Johanna"	["Cardinals", 27, 55]
"John"	["Red Sox", 49, 29]
"Johnathan"	["Red Sox", 46, 32]
"Johnathon"	["Red Sox", 58, 34]
"Johnny"	["Red Sox", 44, 24]
"Jolene"	["Cardinals", 24, 47]
"Jolie"	["Red Sox", 52, 24]
"Jon"	["Red Sox", 39, 28]
"Jonah"	["Cardinals", 28, 56]
"Jonas"	["Red Sox", 52, 30]
"Jonathan"	["Cardinals", 34, 46]
"Jonathon"	["Cardinals", 32, 52]
"Jordan"	["Red Sox", 49, 30]
"Jorden"	["Red Sox", 33, 29]
"Jordyn"	["Cardinals", 23, 56]
"Jordynn"	["Red Sox", 49, 27]
"Jorge"	["Red Sox", 46, 25]
"Jose"	["Red Sox", 35, 34]
"Joselyn"	["Red Sox", 55, 41]
"Joseph"	["Cardinals", 27, 52]
"Josephine"	["Red Sox", 48, 29]
"Joshua"	["Red Sox", 47, 28]
"Josiah"	["Cardinals", 17, 51]
"Josie"	["Red Sox", 63, 23]
"Joslyn"	["Cardinals", 28, 45]
"Josue"	["Red Sox", 41, 29]
"Journee"	["Red Sox", 46, 36]
"Journey"	["Cardinals", 27, 58]
"Jovani"	["Cardinals", 30, 57]
"Jovanni"	["Red Sox", 53, 34]
"Joy"	["Red Sox", 42, 38]
"Joyce"	["Cardinals", 34, 63]
"Joziah"	["Cardinals", 44, 61]
"Juan"	["Cardinals", 33, 50]
"Judah"	["Red Sox", 52, 36]
"Jude"	["Red Sox", 52, 38]
"Judith"	["Cardinals", 34, 40]
"Juelz"	["Cardinals", 24, 50]
"Julia"	["Red Sox", 41, 28]
"Julian"	["Cardinals", 25, 50]
"Juliana"	["Cardinals", 26, 44]
"Julianna"	["Cardinals", 36, 46]
"Julianne"	["Cardinals", 34, 48]
"Julie"	["Red Sox", 50, 21]
"Julien"	["Cardinals", 21, 56]
"Juliet"	["Cardinals", 21, 53]
"Juliette"	["Red Sox", 44, 27]
"Julio"	["Cardinals", 22, 50]
"Julissa"	["Cardinals", 25, 47]
"Julius"	["Red Sox", 45, 32]
"June"	["Cardinals", 28, 48]
"Junior"	["Cardinals", 19, 44]
"Juniper"	["Cardinals", 24, 50]
"Justice"	["Cardinals", 29, 58]
"Justin"	["Red Sox", 47, 29]
"Justus"	["Cardinals", 32, 57]
"Kade"	["Red Sox", 44, 29]
"Kaden"	["Cardinals", 29, 47]
"Kadence"	["Cardinals", 25, 37]
"Kaeden"	["Red Sox", 48, 31]
"Kael"	["Red Sox", 50, 22]
"Kaelyn"	["Cardinals", 33, 38]
"Kaelynn"	["Cardinals", 32, 53]
"Kai"	["Cardinals", 28, 48]
"Kaia"	["Cardinals", 26, 46]
"Kaiden"	["Red Sox", 43, 38]
"Kailee"	["Cardinals", 22, 49]
"Kailey"	["Red Sox", 46, 32]
"Kailyn"	["Cardinals", 31, 69]
"Kailynn"	["Red Sox", 47, 26]
"Kairi"	["Red Sox", 56, 30]
"Kaitlin"	["Red Sox", 58, 33]
"Kaitlyn"	["Red Sox", 51, 34]
"Kaitlynn"	["Red Sox", 37, 31]
"Kaiya"	["Red Sox", 51, 22]
"Kale"	["Red Sox", 53, 24]
"Kaleb"	["Red Sox", 47, 26]
"Kaleigh"	["Cardinals", 36, 52]
"Kali"	["Red Sox", 49, 25]
"Kaliyah"	["Red Sox", 62, 30]
"Kallie"	["Cardinals", 22, 60]
"Kamari"	["Cardinals", 23, 47]
"Kamden"	["Red Sox", 40, 26]
"Kameron"	["Red Sox", 55, 32]
"Kamila"	["Red Sox", 52, 29]
"Kamron"	["Cardinals", 27, 46]
"Kamryn"	["Red Sox", 44, 39]
"Kane"	["Cardinals", 27, 47]
"Kara"	["Cardinals", 39, 47]
"Kareem"	["Cardinals", 25, 54]
"Karen"	["Cardinals", 25, 49]
"Karina"	["Cardinals", 36, 53]
"Karis"	["Red Sox", 47, 33]
"Karissa"	["Red Sox", 53, 22]
"Karla"	["Cardinals", 20, 43]
"Karlee"	["Cardinals", 31, 43]
"Karlie"	["Red Sox", 45, 25]
"Karma"	["Red Sox", 39, 25]
"Karsen"	["Red Sox", 49, 19]
"Karson"	["Cardinals", 20, 56]
"Karsyn"	["Red Sox", 41, 33]
"Karter"	["Cardinals", 28, 49]
"Kase"	["Cardinals", 27, 39]
"Kasen"	["Cardinals", 27, 50]
"Kasey"	["Red Sox", 43, 26]
"Kash"	["Red Sox", 46, 25]
"Kason"	["Red Sox", 43, 31]
"Kassandra"	["Cardinals", 23, 48]
"Kassidy"	["Red Sox", 51, 33]
"Katalina"	["Red Sox", 44, 29]
"Kate"	["Red Sox", 57, 46]
"Katelyn"	["Cardinals", 36, 46]
"Katelynn"	["Red Sox", 40, 31]
"Katherine"	["Red Sox", 50, 23]
"Kathleen"	["Red Sox", 47, 31]
"Kathryn"	["Red Sox", 53, 32]
"Katie"	["Cardinals", 30, 58]
"Katrina"	["Red Sox", 38, 37]
"Kaya"	["Red Sox", 39, 24]
"Kayden"	["Cardinals", 33, 43]
"Kaydence"	["Cardinals", 28, 44]
"Kayla"	["Cardinals", 20, 52]
"Kaylee"	["Cardinals", 21, 53]
"Kayleigh"	["Red Sox", 50, 28]
"Kaylen"	["Red Sox", 48, 30]
"Kaylie"	["Cardinals", 35, 44]
"Kaylin"	["Cardinals", 34, 38]
"Kaylyn"	["Cardinals", 28, 43]
"Kaylynn"	["Red Sox", 51, 25]
"Kaysen"	["Cardinals", 26, 47]
"Kayson"	["Cardinals", 25, 50]
"Keagan"	["Cardinals", 24, 42]
"Keaton"	["Cardinals", 30, 49]
"Keegan"	["Cardinals", 39, 42]
"Keenan"	["Red Sox", 46, 29]
"Keira"	["Red Sox", 49, 29]
"Keith"	["Red Sox", 57, 28]
"Kellan"	["Cardinals", 30, 52]
"Kellen"	["Cardinals", 29, 56]
"Kelly"	["Red Sox", 45, 30]
"Kelsey"	["Cardinals", 25, 43]
"Kelvin"	["Cardinals", 25, 42]
"Kendal"	["Cardinals", 32, 40]
"Kendall"	["Red Sox", 39, 26]
"Kendra"	["Red Sox", 59, 35]
"Kendrick"	["Red Sox", 47, 33]
"Kendyl"	["Red Sox", 50, 20]
"Kenia"	["Cardinals", 27, 64]
"Kenley"	["Cardinals", 29, 50]
"Kenna"	["Red Sox", 49, 21]
"Kennedi"	["Cardinals", 18, 51]
"Kennedy"	["Cardinals", 39, 54]
"Kenneth"	["Cardinals", 43, 65]
"Kenny"	["Red Sox", 46, 29]
"Kensley"	["Red Sox", 58, 26]
"Kenya"	["Red Sox", 52, 28]
"Kenzie"	["Red Sox", 52, 22]
"Kevin"	["Cardinals", 26, 41]
"Keyla"	["Cardinals", 28, 51]
"Khalil"	["Cardinals", 31, 48]
"Khloe"	["Red Sox", 42, 29]
"Kian"	["Red Sox", 44, 29]
"Kiana"	["Cardinals", 30, 48]
"Kiara"	["Red Sox", 54, 26]
"Kiera"	["Red Sox", 42, 33]
"Kieran"	["Cardinals", 31, 44]
"Kiley"	["Cardinals", 30, 56]
"Killian"	["Cardinals", 27, 54]
"Kimber"	["Cardinals", 27, 45]
"Kimberly"	["Red Sox", 37, 29]
"Kimora"	["Red Sox", 53, 42]
"King"	["Cardinals", 22, 52]
"Kingsley"	["Cardinals", 29, 55]
"Kingston"	["Cardinals", 27, 59]
"Kinley"	["Red Sox", 44, 28]
"Kinsley"	["Cardinals", 30, 64]
"Kira"	["Cardinals", 39, 49]
"Kirsten"	["Cardinals", 27, 56]
"Knox"	["Cardinals", 32, 50]
"Kobe"	["Red Sox", 60, 25]
"Kody"	["Red Sox", 54, 35]
"Kohen"	["Cardinals", 25, 55]
"Kolby"	["Red Sox", 38, 28]
"Kole"	["Red Sox", 53, 27]
"Kolten"	["Red Sox", 64, 27]
"Kolton"	["Red Sox", 50, 24]
"Konner"	["Cardinals", 26, 45]
"Konnor"	["Cardinals", 31, 50]
"Kora"	["Cardinals", 19, 52]
"Korbin"	["Cardinals", 30, 47]
"Kourtney"	["Cardinals", 31, 40]
"Krish"	["Cardinals", 32, 63]
"Kristen"	["Cardinals", 29, 44]
"Kristian"	["Cardinals", 19, 47]
"Kristina"	["Cardinals", 28, 53]
"Kristopher"	["Red Sox", 45, 33]
"Krystal"	["Cardinals", 27, 46]
"Kyla"	["Red Sox", 53, 34]
"Kylah"	["Cardinals", 28, 52]
"Kylan"	["Cardinals", 28, 44]
"Kyle"	["Cardinals", 24, 67]
"Kylee"	["Cardinals", 26, 32]
"Kyleigh"	["Red Sox", 53, 35]
"Kylen"	["Red Sox", 48, 19]
"Kyler"	["Red Sox", 53, 33]
"Kylie"	["Red Sox", 51, 21]
"Kymani"	["Red Sox", 49, 35]
"Kyndal"	["Red Sox", 40, 28]
"Kyndall"	["Red Sox", 47, 37]
"Kynlee"	["Red Sox", 44, 39]
"Kyra"	["Red Sox", 39, 39]
"Kyree"	["Red Sox", 40, 19]
"Kyrie"	["Red Sox", 39, 26]
"Kyson"	["Red Sox", 33, 32]
"Lacey"	["Red Sox", 49, 31]
"Laila"	["Cardinals", 23, 41]
"Lailah"	["Red Sox", 54, 28]
"Lainey"	["Cardinals", 24, 47]
"Lamar"	["Red Sox", 49, 42]
"Lana"	["Cardinals", 37, 49]
"Lance"	["Red Sox", 50, 22]
"Landen"	["Red Sox", 47, 31]
"Landon"	["Cardinals", 38, 61]
"Landry"	["Red Sox", 45, 21]
"Landyn"	["Red Sox", 64, 20]
"Lane"	["Cardinals", 23, 60]
"Laney"	["Red Sox", 51, 32]
"Lara"	["Red Sox", 48, 34]
"Larissa"	["Red Sox", 42, 25]
"Larry"	["Cardinals", 22, 61]
"Laura"	["Red Sox", 45, 19]
"Laurel"	["Red Sox", 54, 24]
"Lauren"	["Cardinals", 28, 48]
"Lauryn"	["Red Sox", 46, 39]
"Lawrence"	["Cardinals", 20, 59]
"Lawson"	["Cardinals", 24, 46]
"Layla"	["Red Sox", 43, 38]
"Laylah"	["Red Sox", 54, 33]
"Layne"	["Red Sox", 49, 37]
"Layton"	["Cardinals", 37, 47]
"Lea"	["Red Sox", 58, 24]
"Leah"	["Red Sox", 45, 28]
"Leandro"	["Cardinals", 27, 48]
"Leanna"	["Cardinals", 27, 46]
"Lee"	["Cardinals", 38, 53]
"Legend"	["Red Sox", 47, 33]
"Leia"	["Cardinals", 37, 46]
"Leighton"	["Cardinals", 40, 48]
"Leila"	["Cardinals", 28, 56]
"Leilani"	["Red Sox", 60, 36]
"Leland"	["Cardinals", 31, 59]
"Lena"	["Red Sox", 42, 31]
"Lennon"	["Cardinals", 34, 54]
"Lennox"	["Red Sox", 32, 24]
"Leo"	["Cardinals", 32, 31]
"Leon"	["Cardinals", 24, 55]
"Leona"	["Cardinals", 25, 37]
"Leonard"	["Cardinals", 34, 46]
"Leonardo"	["Cardinals", 30, 58]
"Leonel"	["Cardinals", 34, 39]
"Leonidas"	["Red Sox", 46, 28]
"Leroy"	["Red Sox", 45, 26]
"Leslie"	["Cardinals", 31, 63]
"Lesly"	["Red Sox", 46, 18]
"Levi"	["Cardinals", 21, 46]
"Lewis"	["Cardinals", 45, 44]
"Lexi"	["Cardinals", 24, 49]
"Lexie"	["Red Sox", 49, 28]
"Leyla"	["Cardinals", 23, 49]
"Lia"	["Red Sox", 34, 32]
"Liam"	["Cardinals", 26, 48]
"Liana"	["Cardinals", 34, 59]
"Libby"	["Cardinals", 32, 52]
"Liberty"	["Red Sox", 44, 22]
"Lila"	["Red Sox", 51, 22]
"Lilah"	["Cardinals", 28, 62]
"Lilia"	["Red Sox", 55, 33]
"Lilian"	["Cardinals", 29, 52]
"Liliana"	["Cardinals", 24, 48]
"Lilianna"	["Cardinals", 29, 35]
"Lilith"	["Red Sox", 41, 29]
"Lillian"	["Cardinals", 27, 66]
"Lilliana"	["Red Sox", 33, 24]
"Lillianna"	["Cardinals", 34, 45]
"Lillie"	["Cardinals", 31, 52]
"Lilly"	["Red Sox", 45, 32]
"Lillyana"	["Red Sox", 50, 28]
"Lily"	["Red Sox", 63, 35]
"Lilyana"	["Cardinals", 25, 50]
"Lilyanna"	["Red Sox", 43, 30]
"Lina"	["Cardinals", 23, 59]
"Lincoln"	["Cardinals", 30, 58]
"Linda"	["Red Sox", 41, 28]
"Lindsay"	["Red Sox", 42, 25]
"Lindsey"	["Cardinals", 24, 50]
"Lionel"	["Cardinals", 23, 49]
"Lisa"	["Red Sox", 41, 37]
"Litzy"	["Cardinals", 22, 43]
"Livia"	["Cardinals", 22, 46]
"Lizbeth"	["Cardinals", 21, 43]
"Logan"	["Red Sox", 50, 27]
"Lola"	["Cardinals", 30, 50]
"London"	["Cardinals", 31, 50]
"Londyn"	["Cardinals", 22, 46]
"Lorelai"	["Cardinals", 29, 58]
"Lorelei"	["Red Sox", 71, 25]
"Lorenzo"	["Cardinals", 31, 57]
"Louis"	["Cardinals", 27, 39]
"Luca"	["Red Sox", 40, 35]
"Lucas"	["Red Sox", 45, 24]
"Lucca"	["Red Sox", 48, 24]
"Lucia"	["Cardinals", 29, 69]
"Lucian"	["Cardinals", 22, 47]
"Luciana"	["Cardinals", 32, 41]
"Luciano"	["Red Sox", 59, 32]
"Lucille"	["Red Sox", 41, 28]
"Lucy"	["Cardinals", 36, 57]
"Luis"	["Cardinals", 28, 50]
"Luka"	["Red Sox", 52, 26]
"Lukas"	["Red Sox", 47, 26]
"Luke"	["Cardinals", 26, 39]
"Luna"	["Cardinals", 18, 45]
"Luz"	["Cardinals", 32, 45]
"Lydia"	["Red Sox", 38, 37]
"Lyla"	["Red Sox", 43, 27]
"Lylah"	["Cardinals", 28, 60]
"Lyric"	["Cardinals", 31, 50]
"Macey"	["Red Sox", 44, 33]
"Maci"	["Red Sox", 56, 26]
"Macie"	["Cardinals", 29, 44]
"Mack"	["Cardinals", 29, 56]
"Mackenzie"	["Cardinals", 39, 51]
"Macy"	["Cardinals", 19, 45]
"Madalyn"	["Red Sox", 47, 21]
"Madalynn"	["Red Sox", 56, 40]
"Madden"	["Red Sox", 45, 31]
"Maddison"	["Cardinals", 27, 49]
"Maddox"	["Cardinals", 27, 59]
"Madeleine"	["Red Sox", 46, 22]
"Madeline"	["Cardinals", 22, 56]
"Madelyn"	["Cardinals", 21, 57]
